space_id,property_id,apartment_name,room_name,occupancy_type,security_deposit,date_available,status,created_at,updated_at,mo3_price,mo6_price,mo9_price,mo12_price,bedroom_count,bath_count,min_price,max_price
7911,8099e3c98b4,310,310,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.983789,2021-11-08 19:56:40.599631,0,2000,2000,2000,1,1,0,2000
7914,8099e3c98b4,19-01 Fourth Street,19-01 Fourth Street,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:19.010642,2021-11-17 22:05:36.141412,0,1075,1075,1075,1,1,0,1075
7909,8099e3c98b4,305,305,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.965886,2021-11-08 19:56:40.515083,0,2000,2000,2000,1,1,0,2000
7908,8099e3c98b4,303,303,traditional,,2021-11-15,Vacant Ready (Available),2021-06-15 17:55:18.957196,2022-01-27 21:32:42.37485,0,1875,1875,1875,0,1,0,1875
7907,8099e3c98b4,302,302,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.948577,2021-11-08 19:56:40.50274,0,2300,2300,2300,2,2,0,2300
7906,8099e3c98b4,211,211,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.939784,2021-11-08 19:56:40.491578,0,2300,2300,2300,2,2,0,2300
7905,8099e3c98b4,210,210,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.931008,2021-11-08 19:56:40.479069,0,2000,2000,2000,1,1,0,2000
7904,8099e3c98b4,209,209,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.922179,2021-11-08 19:56:40.466645,0,2000,2000,2000,1,1,0,2000
7903,8099e3c98b4,207,207,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.913184,2021-11-08 19:56:40.453704,0,2300,2300,2300,2,2,0,2300
7902,8099e3c98b4,206,206,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.904258,2021-11-08 19:56:40.44116,0,2000,2000,2000,1,1,0,2000
7901,8099e3c98b4,205,205,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.894394,2021-11-08 19:56:40.429448,0,2300,2300,2300,2,1,0,2300
7899,8099e3c98b4,202,202,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.873768,2021-11-08 19:56:40.417807,0,2300,2300,2300,2,2,0,2300
7896,8099e3c98b4,304,304,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.844937,2021-11-08 19:56:40.384581,0,2000,2000,2000,1,1,0,2000
7897,8099e3c98b4,377-01 Broadway,377-01 Broadway,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.854283,2021-11-17 22:05:36.086573,0,1850,1850,1850,1,1,0,1850
7898,8099e3c98b4,387-01 Broadway,387-01 Broadway,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.864152,2022-01-18 22:28:27.843674,0,4250,4250,4250,1,1,0,4250
7895,8099e3c98b4,385 Broadway,385 Broadway,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.835847,2022-01-18 22:28:27.82073,0,4500,4500,4500,1,1,0,4500
7889,8099e3c98b4,371-373 Broadway,371-373 Broadway,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.780341,2021-11-17 22:05:36.040046,0,3550,3550,3550,1,1,0,3550
7890,8099e3c98b4,369-01 Broadway,369-01 Broadway,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.790319,2021-11-17 22:05:36.049477,0,3550,3550,3550,1,1,0,3550
7893,8099e3c98b4,379-01 Broadway,379-01 Broadway,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.817659,2022-01-18 22:28:27.80525,0,2100,2100,2100,1,1,0,2100
7892,8099e3c98b4,381 Broadway,381 Broadway,traditional,,3000-01-01,expired,2021-06-15 17:55:18.808627,2021-11-10 22:41:40.179482,0,0,0,0,1,1,0,0
7917,8099e3c98b4,208,208,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:19.037443,2021-11-08 19:56:40.61008,0,2000,2000,2000,1,1,0,2000
7915,8099e3c98b4,309,309,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:19.019612,2021-11-08 19:56:40.588168,0,2300,2300,2300,2,2,0,2300
7916,8099e3c98b4,308,308,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:19.028522,2021-11-08 19:56:40.577512,0,2300,2300,2300,2,2,0,2300
7910,8099e3c98b4,307,307,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.975027,2021-11-08 19:56:40.526963,0,2300,2300,2300,2,2,0,2300
7900,8099e3c98b4,204,204,traditional,,3000-01-01,Vacant Ready (Unavailable),2021-06-15 17:55:18.883559,2022-02-01 08:01:50.966913,0,1875,1875,1875,0,1,0,1875
7912,8099e3c98b4,311,311,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.992559,2021-11-08 19:56:40.546651,0,2500,2500,2500,3,2,0,2500
7894,8099e3c98b4,15-01 Fourth Street,15-01 Fourth Street,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:18.8266,2021-11-17 22:05:36.065492,0,1020,1020,1020,1,1,0,1020
7913,8099e3c98b4,203,203,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:19.001328,2021-11-08 19:56:40.555667,0,1750,1750,1750,0,1,0,1750
7891,8099e3c98b4,361-365 Broadway,361-365 Broadway,traditional,,3000-01-01,expired,2021-06-15 17:55:18.799763,2021-11-10 22:41:40.172366,0,0,0,0,1,1,0,0
8468,7c3fbfcceb4,28,28,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.755471,2021-11-08 19:57:26.793257,0,2050,2050,2050,2,1,0,2050
8465,7c3fbfcceb4,35,35,traditional,149,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.728641,2021-11-08 19:57:26.754917,0,1550,1550,1550,0,1,0,1550
8464,7c3fbfcceb4,3,3,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.719948,2021-11-08 19:57:26.743791,0,1750,1750,1750,1,1,0,1750
8463,7c3fbfcceb4,32,32,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.71138,2021-11-08 19:57:26.731173,0,2050,2050,2050,2,1,0,2050
8461,7c3fbfcceb4,2,2,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.692948,2021-11-08 19:57:26.719941,0,1750,1750,1750,1,1,0,1750
8452,7c3fbfcceb4,18,18,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.613156,2021-11-08 19:57:26.638284,0,2050,2050,2050,2,1,0,2050
8451,7c3fbfcceb4,5,5,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.604537,2021-11-08 19:57:26.62619,0,2050,2050,2050,2,1,0,2050
8450,7c3fbfcceb4,31,31,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.595801,2021-11-08 19:57:26.615817,0,1750,1750,1750,1,1,0,1750
8449,7c3fbfcceb4,27,27,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.5867,2021-11-08 19:57:26.604289,0,2050,2050,2050,2,1,0,2050
8448,7c3fbfcceb4,17,17,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.578083,2021-11-08 19:57:26.590572,0,2050,2050,2050,2,1,0,2050
8472,7c3fbfcceb4,14,14,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.79037,2021-11-08 19:57:26.577812,0,1750,1750,1750,1,1,0,1750
