id,home_name,property_id,brand,city_name,neighborhood,timezone,unit_count,rownum,longitude,latitude
7914,BOS.4thandbroadway,8099e3c98b4,noah,Chelsea,Chelsea,Eastern Time (US & Canada),27,1,41,-88
8451,BOS.Joneshill,7c3fbfcceb4,noah,Dorchester,Dorchester,Eastern Time (US & Canada),37,1,42,-87
9607,BOS.Powderhornhill,06c92aa88e2,noah,Chelsea,Chelsea,Eastern Time (US & Canada),32,1,43,-86
8499,BOS.Themeetinghouse,3ab8086e29a,noah,Dorchester,Dorchester,Eastern Time (US & Canada),37,1,44,-85
9559,BOS.ashmont,5f80fdd652a,noah,Dorchester,Dorchester,Eastern Time (US & Canada),12,1,45,-84
9585,BOS.theelaine,692f1a3a275,noah,Mattapan,Mattapan,Eastern Time (US & Canada),27,1,46,-83
11522,CHI.Briar,2e151e15747,common,Chicago,Lakeview East,Central Time (US & Canada),14,1,47,-82
11483,CHI.Damen,ab83d5c56ad,common,Chicago,Ukranian Village,Central Time (US & Canada),12,1,48,-81
15399,CHI.LINEA,2ed1a44fea2,common,Chicago,Downtown Loop,Central Time (US & Canada),349,1,49,-80
7873,CHI.Sable,27f081bb1ff,common,Chicago,Pilsen,Central Time (US & Canada),16,1,50,-79
11506,CHI.Violet,73bacf1aaa5,common,Chicago,Pilsen,Central Time (US & Canada),13,1,51,-78
15101,JC.Agnes,b93b3fd31c7,common,Jersey City,West Side,Eastern Time (US & Canada),64,1,52,-77
9745,JC.Nest,4c81b4331e8,common,Jersey City,Journal Square,Eastern Time (US & Canada),1,1,53,-76
10487,LAX.1164.N Kenmore,4793f66b678,common,Los Angeles,East Hollywood,Pacific Time (US & Canada),29,1,54,-75
14989,LAX.Beverly,2cf2d32c1cb,common,Los Angeles,Hancock Park,Pacific Time (US & Canada),91,1,55,-74
10047,LAX.Bonner,356c0d2c16c,common,North Hollywood,North Hollywood,Pacific Time (US & Canada),31,1,56,-73
10274,LAX.C1,a3cac7b5df8,common,Marina Del Rey,Marina Del Rey,Pacific Time (US & Canada),119,1,57,-72
13501,LAX.Centinela,10af9b5ab0c,common,Los Angeles,Playa Vista,Pacific Time (US & Canada),84,1,58,-71
10458,LAX.Edenhaus,fd131a26f9a,common,Los Angeles,Hollywood,Pacific Time (US & Canada),17,1,59,-70
13980,LAX.Elmwood,6a077a53a9a,common,Los Angeles,Larchmont Village,Pacific Time (US & Canada),140,1,60,-69
13643,LAX.Fountain,0ccff593eab,common,Los Angeles,Hollywood,Pacific Time (US & Canada),198,1,61,-68
12945,LAX.Melrose,d1d50969112,common,Los Angeles,Melrose,Pacific Time (US & Canada),24,1,62,-67
12202,LAX.Paramount,56b5384dd01,common,Los Angeles,Hollywood,Pacific Time (US & Canada),96,1,63,-66
10439,LAX.Penmar,d7580e46953,common,Venice,Venice,Pacific Time (US & Canada),20,1,64,-65
11416,LAX.Sycamore,5be49bcaec9,common,Los Angeles,Mid-City,Pacific Time (US & Canada),30,1,65,-64
11202,MD.Yorkewood,1f0a7b62e68,noah,Baltimore,Baltimore,Eastern Time (US & Canada),286,1,66,-63
9278,NYC.ALTA,dcee0e1bb0c,common,Long Island City,Long Island City,Eastern Time (US & Canada),525,1,67,-62
13110,NYC.Albany,ee49432b413,common,Brooklyn,Crown Heights,Eastern Time (US & Canada),9,1,40.67,73.94
14923,NYC.Baker,3be6ff68ca4,common,Brooklyn,Bed-Stuy,Eastern Time (US & Canada),20,1,40.88,74.99
7942,NYC.Bleecker,255749f1851,kin,New York,Greenwich Village,Eastern Time (US & Canada),25,1,70,-59
13300,NYC.Brower,fb2d3c4da89,common,Brooklyn,Crown Heights,Eastern Time (US & Canada),23,1,40,72
11360,NYC.Clark,20f01093c5e,common,New York,Harlem,Eastern Time (US & Canada),32,1,72,-57
12843,NYC.Classon,73249ed0590,common,Brooklyn,Clinton Hill,Eastern Time (US & Canada),28,1,41,75
11340,NYC.Cypress,fcdcf24100c,common,Flushing,Ridgewood,Eastern Time (US & Canada),23,1,74,-55
11570,NYC.Dean,80654d4ec45,common,Brooklyn,Prospect Heights,Eastern Time (US & Canada),13,1,43.91,74.81
10872,NYC.Evergreen,2535d656089,common,Brooklyn,Bushwick,Eastern Time (US & Canada),32,1,44.31,72.532
10833,NYC.Gates,95164acafa1,common,Brooklyn,Bushwick,Eastern Time (US & Canada),50,1,40,71.77
13020,NYC.Grand,c83830a37cf,common,Brooklyn,Clinton Hill,Eastern Time (US & Canada),23,1,42,73.27
11322,NYC.Halsey,f547a8e3d52,common,Brooklyn,Bed-Stuy,Eastern Time (US & Canada),18,1,41,72.11
11300,NYC.Hamilton,509155b4d04,common,New York,Hamilton Heights,Eastern Time (US & Canada),11,1,80,-49
13175,NYC.Hancock,f4ff58ccc2b,common,Brooklyn,Bed-Stuy,Eastern Time (US & Canada),24,1,42.21,77.41
13083,NYC.Havemeyer,171dea57b9b,common,Brooklyn,Williamsburg,Eastern Time (US & Canada),51,1,43.99,73.32
15157,NYC.Heritage,573950699ed,common,New York,Harlem,Eastern Time (US & Canada),80,1,83,-46
13090,NYC.Herkimer,abf2fcec8db,common,Brooklyn,Crown Heights,Eastern Time (US & Canada),18,1,44.7,74.81
12968,NYC.Kingston,512cdfea704,common,Brooklyn,Crown Heights,Eastern Time (US & Canada),21,1,44.1,72.532
13149,NYC.Lenox,1b4f780018c,common,New York,Harlem,Eastern Time (US & Canada),21,1,86,71.77
12102,NYC.Lincoln,88fa432c1c8,common,Brooklyn,Prospect Lefferts Garden,Eastern Time (US & Canada),17,1,87,-42
8230,NYC.Marcy,67b77e7230f,common,Brooklyn,Williamsburg,Eastern Time (US & Canada),38,1,88,-41
14921,NYC.Owens,25f5396f3ca,common,Brooklyn,Bedford Stuyvesant,Eastern Time (US & Canada),44,1,89,-40
13133,NYC.Robinson,730184ab3fb,common,New York,Harlem,Eastern Time (US & Canada),27,1,90,-39
8165,NYC.Roebling,239264c2d53,kin,Brooklyn,Williamsburg,Eastern Time (US & Canada),7,1,43,74.81
11596,NYC.Sterling,bc2785915bd,common,Brooklyn,Crown Heights,Eastern Time (US & Canada),15,1,44,72.532
12783,NYC.TheLanes,e409c6ee403,common,Long Island City,Long Island City,Eastern Time (US & Canada),147,1,93,-36
7944,NYC.Union,e3583029302,kin,Brooklyn,Williamsburg,Eastern Time (US & Canada),19,1,43,74.81
11584,NYC.Wyckoff,bffbaae89f9,common,Brooklyn,Bushwick,Eastern Time (US & Canada),14,1,44,72.532
9859,PHI.Broadridge,9363646ec37,common,Philadelphia,Fairmount,Eastern Time (US & Canada),291,1,96,-33
13340,PHI.Civic,3119b05384d,common,Philadelphia,Fairmount,Eastern Time (US & Canada),28,1,97,-32
13402,PHI.Frankford,63e38da82d8,common,Philadelphia,Fishtown,Eastern Time (US & Canada),71,1,98,-31
12868,PHI.LincolnSquare,c0440765e13,common,Philadelphia,Southwest Center City,Eastern Time (US & Canada),12,1,99,-30
12340,SD.Parco,c9e8bbfaa72,common,National City,National City,Pacific Time (US & Canada),150,1,100,-29
9479,SEA.510.Broadway,241ef8cfa0b,common,Seattle,First Hill,Pacific Time (US & Canada),84,1,101,-28
8969,SEA.Anderson,6277509302b,common,Seattle,Capitol Hill,Pacific Time (US & Canada),78,1,102,-27
8933,SEA.Capitol,3adc3528087,common,Seattle,Capitol Hill,Pacific Time (US & Canada),58,1,103,-26
9083,SEA.Madison,1e763ec134f,common,Seattle,Capitol Hill,Pacific Time (US & Canada),61,1,104,-25
9332,SEA.Rogers,779aef7d0f4,common,Seattle,East Lake,Pacific Time (US & Canada),35,1,105,-24
8898,SEA.Summit,6acba213696,common,Seattle,Capitol Hill,Pacific Time (US & Canada),49,1,106,-23
9449,SEA.Terry,167b5911f80,common,Seattle,First Hill,Pacific Time (US & Canada),112,1,107,-22
